name,categories,address,lat,lng,distance,city
Niddrie Arcade Book Exchange & Stamp Shop,Bookstore,334 Keilor Rd,-37.73701198000026,144.89168705071918,10559,Niddrie
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,11062,
2nd book shop,Bookstore,,-37.816244,144.968586,11168,
Fully Booked,Bookstore,,-37.75324825558141,145.00143704679917,3624,
Campions Books,Bookstore,,-37.732274,145.054382,4091,
Perimeter Books,Bookstore,748 High St,-37.755844,145.0013,3909,Thornbury
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,11802,Melbourne
DARUSSALAM Islamic Bookstore,Bookstore,397 Sydney Road,-37.744392,144.966202,4627,Coburg
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,12921,Wheelers Hill
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,7541,Melbourne
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,2471,Melbourne
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,3902,South Yarra
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,3056,
The Book Grocer,Bookstore,,-37.837622,144.995999,4336,South Yarra
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,13790,Footscray
Books in Print,Bookstore,100 Glenferrie Road,-37.86201866273599,145.02884310381728,1159,Malvern
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,8200,Melbourne
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,8047,Melbourne
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,5314,Brighton
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,8029,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,7955,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,7970,Melbourne
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,8531,Fitzroy
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,8862,Fitzroy
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,8585,Docklands
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,9389,Carlton
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,7974,Melbourne
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,8085,Melbourne
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,8722,Melbourne
